Customer_ID,Name,Segment,Monetary,Frequency,Recency,Churn_Proba,CLV_Pred,Risk_Tier,Winback_prioritaire
2506,Grace Parker,Petits dormants (Accessoires),24.0,1,373,0.849123383586592,179.9228193632521,Eleve,0
4878,Madison Ramos,Petits dormants (Accessoires),45.0,1,55,0.8308853261909406,177.88727813913505,Eleve,0
4664,Kinsley King,Online reguliers (Clothing),681.45,11,405,0.8143181818181818,827.0059529249859,Eleve,1
3663,Allison Rogers,Petits dormants (Accessoires),24.0,1,495,0.7863762881044039,209.01183877280928,Eleve,0
5639,Jack Allen,Petits dormants (Accessoires),169.0,4,11,0.7564478801696489,328.1225970089745,Eleve,1
2633,Diana Wright,Chaussures ponctuels,202.0,3,678,0.7555639876669479,417.54021031052093,Eleve,1
2644,Lucy Mitchell,Petits dormants (Accessoires),22.5,1,77,0.7450137866920055,263.12935473419805,Eleve,0
5164,Amelia Moore,Petits dormants (Accessoires),24.0,1,175,0.7411216553156311,211.70156128722118,Eleve,0
5477,Alice Carter,Online reguliers (Clothing),108.0,1,233,0.738031771171135,226.5121730098901,Eleve,0
3901,Jonathan Hall,In-Store reguliers,181.0,3,588,0.725491320034007,282.70280583888604,Eleve,0
5017,Eva Taylor,Petits dormants (Accessoires),70.0,1,178,0.7220200629404924,193.89139484996858,Eleve,0
4866,Ivy White,Petits dormants (Accessoires),70.0,1,219,0.7157102151653026,194.1075009890921,Eleve,0
5214,Asher Hernandez,Gros paniers occasionnels (Outerwear),1115.5,8,379,0.7145238095238095,493.5625331500409,Eleve,1
2341,Layla Clark,Petits dormants (Accessoires),22.5,1,161,0.7143415209443755,265.0956576785402,Eleve,0
2890,James Diaz,Online reguliers (Clothing),50.0,1,213,0.7075558871601692,209.97753792292852,Eleve,0
4815,James Ward,Online reguliers (Clothing),58.5,1,231,0.698046641213736,231.2766253380599,Eleve,0
2305,Maya White,Petits dormants (Accessoires),22.5,1,406,0.6891291062928964,254.989158886451,Eleve,0
4033,Liam Young 2,Online reguliers (Clothing),125.0,1,62,0.6890572198890438,251.34797596794618,Eleve,0
5014,Willow Ramirez,Petits dormants (Accessoires),22.5,1,279,0.6854175764609229,280.4759585693646,Eleve,0
4464,Eleanor Nelson 2,Gros paniers occasionnels (Outerwear),336.0,2,412,0.670185858444785,212.10286094964212,Eleve,0
3692,Paisley Cruz,Gros paniers occasionnels (Outerwear),255.0,1,198,0.6615515056887505,210.84304982518512,Eleve,0
3466,Jonathan Bailey,Online reguliers (Clothing),602.75,7,376,0.658700966183575,445.0621756306056,Eleve,1
4040,Isabella White,Gros paniers occasionnels (Outerwear),300.0,2,202,0.6586420631910629,182.9615328520636,Eleve,0
4015,Aaron Brooks,Online reguliers (Clothing),120.0,1,258,0.6544830833826204,256.09695597865766,Eleve,0
5379,Sophie Cook,Petits dormants (Accessoires),45.0,1,420,0.6524379642319813,189.64207961524423,Eleve,0
5526,Mia Ortiz,Petits dormants (Accessoires),21.6,1,88,0.6461104678508967,248.5285235877628,Eleve,0
3294,Caleb Garcia,Online reguliers (Clothing),55.0,1,197,0.6450868169241195,243.81215981503144,Eleve,0
2852,Anna White,Gros paniers occasionnels (Outerwear),427.5,2,458,0.6405362401142526,194.00928486624775,Eleve,0
2371,Ella Cruz,Petits dormants (Accessoires),22.5,1,145,0.6371742517426415,284.14392308215565,Eleve,0
2398,Aria Hill,Online reguliers (Clothing),198.0,1,231,0.6333269798684613,268.548470711197,Eleve,0
5048,Anna Jackson,Online reguliers (Clothing),90.0,1,236,0.6326203478592558,309.971779253254,Eleve,1
5786,Nolan Martin 2,Gros paniers occasionnels (Outerwear),260.0,2,68,0.6309578262562264,185.37976939564524,Eleve,0
5834,Leo Brown,Online reguliers (Clothing),112.25,2,207,0.6296359209958234,235.87754097721955,Eleve,0
3694,Charles Anderson,Online reguliers (Clothing),50.0,1,201,0.6262472402333826,291.3254796780145,Eleve,0
2897,Leo Jackson,Gros paniers occasionnels (Outerwear),465.0,2,133,0.6256243835088626,269.1955348420462,Eleve,0
4039,Adrian Adams,Petits dormants (Accessoires),128.0,1,68,0.625434625341105,537.3197118534631,Eleve,1
3729,Carter White,Online reguliers (Clothing),165.0,1,76,0.6237985633204208,549.5525392543753,Eleve,1
2088,Caroline Howard,Online reguliers (Clothing),155.5,3,295,0.6197086024054931,238.48799694082012,Eleve,0
2028,Madison Roberts,Petits dormants (Accessoires),96.0,1,436,0.6195738682569809,184.36405868722352,Eleve,0
5618,Hazel Walker,Petits dormants (Accessoires),116.25,2,180,0.6188304339426082,217.16605897170732,Eleve,0
5348,Julia Brooks,Petits dormants (Accessoires),22.5,1,277,0.61773900249855,274.6721299171653,Eleve,0
5689,Kinsley Sanchez,Petits dormants (Accessoires),48.0,1,116,0.6107520136709429,163.0359699278495,Eleve,0
4966,Ivy White 2,Online reguliers (Clothing),133.0,1,93,0.6092721734260643,308.43513328698566,Eleve,1
3094,Samantha Reyes 2,Online reguliers (Clothing),140.0,1,44,0.6092370707624789,373.71563516074866,Eleve,1
5803,Abigail Torres 2,Gros paniers occasionnels (Outerwear),228.0,2,261,0.6030840180712175,147.46698619187183,Eleve,0
2111,Riley Taylor,Online reguliers (Clothing),105.0,1,62,0.6022995834787264,341.538002187617,Eleve,1
3045,Logan Rodriguez,Petits dormants (Accessoires),96.0,1,91,0.6019068990663093,185.6195528800988,Eleve,0
3313,Oliver Morgan,In-Store reguliers,234.0,4,21,0.6003912132653904,397.9257999913102,Eleve,1
5791,Audrey Moore 3,In-Store reguliers,95.5,3,425,0.5964480778337783,375.6826596417998,Eleve,1
4187,Evelyn Lopez,Petits dormants (Accessoires),151.0,2,160,0.5953427451557812,280.9332473726107,Eleve,0
4345,Gabriel Peterson,Petits dormants (Accessoires),48.0,1,319,0.5940688741688903,168.21166056784915,Eleve,0
5171,Ellie Green,Online reguliers (Clothing),110.5,1,200,0.593975610680352,245.05714388052823,Eleve,0
2828,Ethan Watson,Petits dormants (Accessoires),28.8,1,754,0.5938636950426442,337.6900109816252,Eleve,1
3325,Lily Adams,Petits dormants (Accessoires),103.25,2,99,0.593518333474933,241.88346796234532,Eleve,0
5857,Joseph Morgan,Online reguliers (Clothing),120.0,2,69,0.5919701873060493,211.79782892762145,Eleve,0
2616,Wyatt White,Petits dormants (Accessoires),173.0,2,124,0.5880671864020415,177.48224987159338,Eleve,0
3587,Caroline Howard 2,Petits dormants (Accessoires),271.2,2,374,0.586052451588164,200.39889775079322,Eleve,0
2153,Ryan Miller,Online reguliers (Clothing),128.25,1,83,0.5857669919364149,393.49597022233365,Eleve,1
4280,Anthony Gonzalez,Online reguliers (Clothing),135.0,1,144,0.5856002263363903,246.00946480084934,Eleve,0
2140,Brooklyn Peterson,In-Store reguliers,108.75,2,14,0.5814680082295589,220.91630525442702,Eleve,0
4120,Willow Morris 2,Gros paniers occasionnels (Outerwear),313.5,2,228,0.5806258852469774,213.19253112555631,Eleve,0
4382,Abigail Carter,Gros paniers occasionnels (Outerwear),240.0,2,634,0.5801254720572845,427.5853471328282,Eleve,1
3474,Penelope Morgan,Online reguliers (Clothing),404.25,3,445,0.5743245955591617,445.82867787528335,Eleve,1
5021,Jack Flores,Petits dormants (Accessoires),64.0,2,76,0.5739519821804049,183.86054802392752,Eleve,0
5729,Oliver Flores,Online reguliers (Clothing),125.0,3,82,0.5738424522850566,420.6621810390341,Eleve,1
